x_0,x_1,y
171,243,0
434,230,1
411,452,1
336,10,1
427,409,1
31,51,0
338,194,1
145,236,0
444,369,1
490,417,1
242,34,0
47,98,0
466,16,1
41,223,0
353,276,1
311,26,1
283,36,1
436,312,1
470,374,1
307,288,1
268,316,0
485,87,1
34,257,0
325,116,1
0,360,0
317,439,1
487,340,1
396,338,1
4,41,0
456,456,1
148,441,0
370,491,1
104,450,0
179,379,0
66,9,0
402,45,1
296,235,1
63,182,0
149,184,0
467,1,1
5,129,0
215,264,0
29,214,0
381,239,1
38,300,0
236,460,0
278,464,1
386,28,1
371,343,1
489,29,1
380,296,1
409,271,1
82,303,0
217,89,0
345,152,1
18,72,0
255,401,0
333,207,1
69,491,0
466,167,1
409,213,1
207,303,0
143,252,0
44,207,0
478,156,1
278,181,1
485,375,1
145,270,0
166,331,0
372,315,1
176,476,0
89,74,0
316,217,1
451,259,1
8,411,0
314,472,1
382,396,1
254,135,0
150,69,0
377,207,1
471,429,1
241,335,0
66,151,0
471,273,1
463,254,1
467,50,1
317,188,1
129,374,0
476,397,1
28,460,0
309,476,1
90,274,0
340,458,1
292,147,1
220,52,0
86,79,0
174,327,0
381,368,1
434,489,1
9,208,0
229,14,0
325,120,1
248,403,0
246,323,0
185,185,0
229,355,0
207,261,0
450,382,1
121,185,0
85,482,0
109,239,0
444,452,1
419,136,1
218,315,0
183,71,0
218,238,0
2,436,0
259,471,0
450,5,1
60,143,0
356,209,1
385,254,1
24,425,0
34,225,0
107,414,0
112,431,0
196,42,0
65,449,0
378,124,1
396,50,1
245,300,0
31,282,0
498,317,1
450,415,1
263,77,0
361,142,1
445,148,1
405,289,1
96,345,0
282,161,1
126,60,0
393,94,1
118,238,0
476,352,1
286,275,1
392,6,1
179,8,0
192,385,0
306,71,1
150,33,0
157,424,0
287,345,1
428,342,1
450,184,1
249,358,0
479,370,1
160,89,0
202,196,0
380,463,1
43,92,0
364,347,1
146,102,0
137,71,0
483,474,1
357,393,1
378,245,1
18,323,0
427,431,1
447,91,1
430,64,1
63,266,0
376,301,1
494,356,1
391,339,1
376,468,1
409,321,1
21,329,0
245,322,0
371,153,1
252,165,0
63,75,0
109,174,0
230,336,0
453,492,1
200,306,0
414,216,1
261,283,0
30,260,0
210,425,0
149,230,0
336,128,1
466,433,1
87,350,0
19,61,0
295,309,1
426,442,1
170,393,0
361,96,1
80,416,0
12,130,0
