x1,x2,y
366.0000,682.0000,0
477.0000,508.0000,1
446.0000,383.0000,1
778.0000,957.0000,0
473.0000,502.0000,1
554.0000,473.0000,1
730.0000,941.0000,0
342.0000,824.0000,0
738.0000,860.0000,0
333.0000,387.0000,1
92.0000,234.0000,0
842.0000,311.0000,0
980.0000,895.0000,0
87.0000,549.0000,0
137.0000,998.0000,0
843.0000,385.0000,0
52.0000,998.0000,0
525.0000,288.0000,1
916.0000,980.0000,0
139.0000,648.0000,0
466.0000,790.0000,0
649.0000,646.0000,1
321.0000,996.0000,0
667.0000,199.0000,0
272.0000,878.0000,0
794.0000,459.0000,0
744.0000,521.0000,1
413.0000,537.0000,1
905.0000,225.0000,0
404.0000,285.0000,1
129.0000,48.0000,0
210.0000,354.0000,0
485.0000,338.0000,1
978.0000,449.0000,0
658.0000,612.0000,1
376.0000,302.0000,1
463.0000,539.0000,1
919.0000,724.0000,0
747.0000,903.0000,0
381.0000,356.0000,1
733.0000,445.0000,1
771.0000,334.0000,0
646.0000,384.0000,1
393.0000,534.0000,1
553.0000,745.0000,0
413.0000,391.0000,1
998.0000,653.0000,0
393.0000,985.0000,0
302.0000,598.0000,1
369.0000,646.0000,1
581.0000,652.0000,1
528.0000,525.0000,1
265.0000,961.0000,0
326.0000,448.0000,1
622.0000,145.0000,0
707.0000,517.0000,1
482.0000,408.0000,1
597.0000,956.0000,0
430.0000,532.0000,1
574.0000,621.0000,1
449.0000,32.0000,0
510.0000,484.0000,1
421.0000,604.0000,1
279.0000,79.0000,0
510.0000,535.0000,1
780.0000,172.0000,0
49.0000,188.0000,0
615.0000,504.0000,1
305.0000,449.0000,1
999.0000,62.0000,0
612.0000,593.0000,1
661.0000,486.0000,1
382.0000,674.0000,1
944.0000,672.0000,0
411.0000,788.0000,0
53.0000,628.0000,0
17.0000,737.0000,0
948.0000,876.0000,0
145.0000,109.0000,0
632.0000,813.0000,0
211.0000,156.0000,0
512.0000,632.0000,1
689.0000,498.0000,1
530.0000,205.0000,0
267.0000,344.0000,0
463.0000,521.0000,1
745.0000,463.0000,1
898.0000,796.0000,0
415.0000,481.0000,1
600.0000,564.0000,1
667.0000,797.0000,0
528.0000,672.0000,1
573.0000,331.0000,1
968.0000,945.0000,0
146.0000,365.0000,0
221.0000,551.0000,0
274.0000,511.0000,1
70.0000,339.0000,0
688.0000,611.0000,1
573.0000,276.0000,1
995.0000,582.0000,0
363.0000,194.0000,0
447.0000,657.0000,1
774.0000,233.0000,0
585.0000,445.0000,1
