x_0,x_1,y
357,446,1
335,137,0
474,315,1
493,83,0
169,429,1
152,150,0
88,181,0
222,84,0
145,345,1
150,459,1
447,183,0
401,148,0
168,1,0
108,212,0
46,310,1
316,281,1
267,328,1
98,317,1
278,3,0
90,436,1
429,249,0
35,347,1
307,316,1
203,95,0
259,195,0
63,430,1
449,134,0
167,247,0
277,382,1
152,477,1
137,290,1
307,422,1
250,14,0
276,397,1
466,371,1
431,164,0
379,281,1
207,392,1
55,329,1
255,65,0
183,20,0
447,173,0
175,475,1
442,120,0
146,336,1
448,275,1
208,315,1
434,191,0
457,427,1
250,253,0
177,50,0
325,398,1
42,491,1
373,492,1
123,431,1
152,370,1
137,179,0
246,265,0
432,478,1
200,493,1
126,306,1
20,455,1
221,21,0
126,384,1
282,330,1
327,100,0
377,293,1
194,191,0
232,246,0
74,33,0
26,449,1
306,377,1
350,278,1
105,13,0
498,134,0
302,417,1
471,272,1
437,19,0
32,238,0
345,371,1
349,50,0
126,412,1
215,491,1
81,175,0
325,61,0
221,362,1
243,430,1
422,209,0
118,10,0
297,76,0
461,134,0
337,47,0
338,139,0
72,17,0
478,145,0
233,355,1
383,5,0
118,499,1
52,145,0
25,349,1
246,477,1
156,338,1
467,448,1
114,306,1
94,36,0
89,159,0
266,219,0
468,40,0
291,135,0
127,6,0
153,288,1
107,487,1
221,259,0
148,403,1
197,427,1
93,219,0
395,294,1
248,78,0
13,129,0
184,344,1
384,123,0
405,277,1
102,407,1
226,327,1
189,497,1
407,89,0
390,288,1
372,7,0
205,49,0
144,419,1
86,196,0
223,394,1
221,340,1
269,124,0
461,16,0
194,251,0
99,268,0
491,442,1
173,205,0
326,421,1
442,388,1
72,275,1
352,85,0
29,167,0
479,369,1
23,482,1
21,212,0
29,284,1
268,334,1
301,464,1
238,192,0
313,434,1
195,446,1
249,231,0
379,280,1
92,385,1
13,273,1
401,331,1
231,193,0
364,2,0
360,146,0
321,274,1
287,431,1
326,152,0
276,164,0
436,376,1
94,414,1
133,366,1
204,244,0
410,348,1
461,333,1
127,43,0
386,436,1
389,463,1
402,17,0
2,133,0
275,157,0
34,432,1
198,407,1
187,291,1
278,211,0
59,439,1
130,180,0
124,341,1
29,494,1
360,286,1
339,477,1
16,127,0
367,240,0
145,300,1
43,338,1
5,108,0
95,466,1
309,472,1
262,453,1
439,129,0
352,240,0
37,370,1
146,50,0
40,28,0
17,193,0
404,389,1
31,356,1
402,0,0
249,391,1
144,325,1
282,342,1
97,78,0
202,428,1
390,299,1
72,447,1
139,79,0
441,313,1
64,116,0
273,468,1
207,256,0
110,291,1
204,19,0
124,96,0
128,206,0
467,356,1
270,475,1
483,433,1
50,173,0
436,309,1
488,417,1
472,350,1
80,406,1
77,174,0
367,415,1
436,189,0
267,227,0
265,479,1
324,277,1
376,13,0
211,75,0
113,366,1
478,46,0
161,165,0
439,32,0
224,133,0
66,147,0
261,387,1
358,322,1
343,172,0
445,35,0
412,197,0
264,355,1
280,271,1
50,30,0
399,239,0
146,28,0
202,113,0
492,463,1
42,472,1
24,36,0
51,429,1
493,152,0
201,181,0
239,78,0
190,194,0
98,97,0
282,495,1
444,364,1
137,183,0
222,45,0
392,254,0
407,22,0
75,491,1
83,5,0
448,30,0
48,388,1
414,168,0
454,195,0
164,365,1
438,63,0
424,36,0
452,112,0
80,499,1
54,112,0
247,463,1
82,400,1
299,279,1
112,287,1
18,493,1
66,208,0
303,123,0
97,219,0
80,160,0
461,208,0
302,276,1
243,38,0
485,209,0
135,122,0
390,91,0
499,167,0
338,257,0
40,419,1
405,104,0
100,320,1
445,477,1
352,314,1
146,94,0
297,255,0
213,396,1
88,233,0
333,356,1
29,20,0
96,261,0
133,459,1
362,379,1
328,113,0
309,317,1
3,377,1
104,387,1
346,224,0
268,473,1
151,458,1
238,80,0
388,446,1
128,153,0
411,177,0
26,457,1
263,94,0
169,486,1
485,230,0
42,28,0
375,430,1
170,485,1
426,81,0
221,30,0
194,47,0
76,430,1
6,463,1
221,313,1
279,283,1
452,420,1
300,67,0
197,407,1
453,399,1
384,292,1
323,374,1
156,123,0
302,339,1
467,315,1
423,266,0
207,235,0
392,161,0
464,81,0
287,205,0
140,317,1
378,29,0
217,127,0
254,385,1
271,189,0
429,323,1
262,126,0
221,62,0
308,306,1
446,376,1
264,481,1
159,476,1
83,20,0
32,236,0
448,415,1
463,370,1
428,158,0
300,57,0
10,176,0
156,6,0
435,284,1
120,213,0
463,172,0
403,449,1
182,135,0
204,424,1
114,491,1
250,279,1
260,371,1
