x_0,x_1,y
320,292,1
104,129,0
248,366,1
426,416,1
345,316,1
169,313,1
206,339,1
186,223,0
160,71,0
303,134,0
32,318,1
426,478,1
314,262,1
236,264,0
301,292,1
84,157,0
322,226,0
97,144,0
491,461,1
274,270,1
308,464,1
167,137,0
276,364,1
277,341,1
357,267,1
63,100,0
452,374,1
174,351,1
190,206,0
294,429,1
434,282,1
400,343,1
407,123,0
139,105,0
184,24,0
124,69,0
308,265,1
296,157,0
347,7,0
365,448,1
180,143,0
245,79,0
355,207,0
328,488,1
331,457,1
219,142,0
319,477,1
130,68,0
489,56,0
393,254,0
123,403,1
244,273,1
36,16,0
470,43,0
453,343,1
275,349,1
39,436,1
1,416,1
343,373,1
192,136,0
328,115,0
335,361,1
378,77,0
492,184,0
192,14,0
178,395,1
401,134,0
370,373,1
241,397,1
105,212,0
409,160,0
310,44,0
98,488,1
66,494,1
455,452,1
9,328,1
397,47,0
71,369,1
85,236,0
310,325,1
97,359,1
314,142,0
455,310,1
488,283,1
171,157,0
469,85,0
446,394,1
496,366,1
109,257,0
353,299,1
143,420,1
256,184,0
373,390,1
302,391,1
300,151,0
493,9,0
80,235,0
327,194,0
367,209,0
96,136,0
479,239,0
433,440,1
320,362,1
494,363,1
460,351,1
116,366,1
293,195,0
348,361,1
138,193,0
449,344,1
315,446,1
4,399,1
356,299,1
83,455,1
197,63,0
442,120,0
285,321,1
318,368,1
287,87,0
382,427,1
86,85,0
242,57,0
423,75,0
305,265,1
302,395,1
101,341,1
311,485,1
54,436,1
95,43,0
88,311,1
419,303,1
102,27,0
250,331,1
372,335,1
246,223,0
163,72,0
227,150,0
492,25,0
54,246,0
363,485,1
156,229,0
457,262,0
50,381,1
222,153,0
230,354,1
157,425,1
430,1,0
8,407,1
332,434,1
382,155,0
324,436,1
366,138,0
483,67,0
19,224,0
297,194,0
293,226,0
34,194,0
48,249,0
104,195,0
105,354,1
406,92,0
451,400,1
203,105,0
81,219,0
258,198,0
319,331,1
303,278,1
168,262,0
413,479,1
163,321,1
311,219,0
184,460,1
90,271,0
400,95,0
317,382,1
309,459,1
200,241,0
145,435,1
471,338,1
183,227,0
293,179,0
256,205,0
106,334,1
226,34,0
354,1,0
432,224,0
348,191,0
76,10,0
75,455,1
343,494,1
365,297,1
259,88,0
39,54,0
71,8,0
289,338,1
108,492,1
438,55,0
184,29,0
496,144,0
375,470,1
