x_0,x_1,y
712,212,1
175,567,0
528,112,1
370,688,0
781,178,1
671,181,1
50,448,0
511,309,1
889,64,1
454,427,0
243,104,1
169,87,1
671,51,1
169,557,0
215,709,0
804,95,1
47,411,0
1021,542,1
420,385,1
158,474,0
652,472,1
686,69,1
122,552,0
62,640,0
421,455,0
675,413,1
811,759,0
523,540,0
776,5,1
701,281,1
370,183,1
62,309,0
379,525,0
666,246,1
764,600,0
27,640,0
660,577,0
898,430,1
881,652,0
874,704,0
585,422,1
625,375,1
94,649,0
589,653,0
146,67,1
667,478,1
303,464,0
65,221,0
93,245,0
919,513,1
784,180,1
208,717,0
305,183,1
890,604,0
275,83,1
836,437,1
315,708,0
391,164,1
88,131,0
59,338,0
805,575,0
780,703,0
174,161,1
12,330,0
690,181,1
750,133,1
356,533,0
280,387,0
515,687,0
77,42,0
663,167,1
355,181,1
203,719,0
337,191,1
93,14,1
707,166,1
764,72,1
887,273,1
577,594,0
894,342,1
809,40,1
926,688,0
623,279,1
662,362,1
738,347,1
857,339,1
846,599,0
57,482,0
783,433,1
446,36,1
241,87,1
109,723,0
612,723,0
604,751,0
919,326,1
924,540,1
255,634,0
661,255,1
888,227,1
816,689,0
734,146,1
598,557,0
161,285,0
702,686,0
1013,454,1
3,49,0
518,579,0
853,744,0
48,354,0
928,749,0
356,407,0
173,488,0
193,243,0
871,473,1
511,557,0
142,131,0
325,432,0
669,22,1
922,687,0
206,528,0
743,707,0
12,594,0
412,441,0
486,709,0
442,22,1
942,548,1
908,201,1
850,559,1
1009,708,0
387,681,0
851,323,1
31,385,0
982,611,1
370,328,1
615,432,1
793,256,1
101,64,0
862,401,1
358,307,1
310,238,1
317,203,1
962,183,1
739,418,1
853,424,1
408,89,1
114,2,1
199,750,0
1017,400,1
744,212,1
327,75,1
786,442,1
70,6,1
823,571,0
326,614,0
556,163,1
833,429,1
164,469,0
56,394,0
534,140,1
965,481,1
867,592,0
220,587,0
430,218,1
375,324,1
788,353,1
714,636,0
42,531,0
649,751,0
79,366,0
793,70,1
88,528,0
352,585,0
59,441,0
913,672,0
20,296,0
158,323,0
883,668,0
236,530,0
893,209,1
136,337,0
610,411,1
1018,134,1
963,339,1
522,58,1
255,455,0
1019,443,1
778,83,1
1007,765,0
755,265,1
793,105,1
996,633,1
256,507,0
294,711,0
692,734,0
615,688,0
1005,511,1
604,600,0
720,22,1
78,737,0
24,16,0
