x_0,x_1,y
466,653,0
137,363,0
59,644,0
501,170,1
619,740,0
780,144,1
353,260,1
910,538,1
138,588,0
530,323,1
757,623,0
979,601,1
415,659,0
470,290,1
583,87,1
940,63,1
160,604,0
502,631,0
766,741,0
287,278,0
167,175,1
486,242,1
917,485,1
796,174,1
134,672,0
1,767,0
414,552,0
670,49,1
504,478,0
940,517,1
345,758,0
590,552,0
824,566,0
204,124,1
161,448,0
805,157,1
551,584,0
481,293,1
973,222,1
239,9,1
18,660,0
617,670,0
62,647,0
737,611,0
335,273,1
867,177,1
592,208,1
944,450,1
634,741,0
1009,99,1
614,671,0
435,665,0
87,200,0
597,228,1
397,536,0
417,292,1
334,446,0
134,6,1
534,437,0
878,247,1
597,72,1
186,140,1
980,562,1
790,203,1
582,620,0
508,738,0
548,54,1
534,229,1
527,238,1
575,455,0
265,1,1
864,0,1
207,137,1
999,222,1
305,405,0
827,202,1
784,759,0
876,751,0
100,541,0
677,235,1
849,560,1
82,610,0
792,121,1
156,249,0
6,636,0
108,129,0
157,284,0
614,441,1
370,462,0
179,161,1
389,401,0
896,508,1
971,365,1
269,121,1
511,64,1
974,682,0
709,200,1
1011,549,1
366,678,0
831,292,1
757,132,1
518,420,1
839,521,1
983,531,1
171,514,0
406,87,1
970,421,1
531,398,1
775,208,1
450,371,1
693,678,0
410,726,0
675,281,1
1018,62,1
913,138,1
128,464,0
593,243,1
310,67,1
428,269,1
568,75,1
956,298,1
34,254,0
1022,658,1
208,630,0
1005,456,1
671,217,1
485,756,0
379,158,1
238,59,1
544,373,1
198,704,0
375,736,0
368,329,1
630,442,1
793,27,1
690,276,1
36,293,0
394,653,0
771,7,1
47,256,0
119,227,0
819,689,0
503,160,1
252,626,0
1000,629,1
728,146,1
273,224,1
694,341,1
888,637,0
334,601,0
316,499,0
523,405,1
178,537,0
611,174,1
899,546,1
925,475,1
606,47,1
292,733,0
599,242,1
599,189,1
860,518,1
950,675,0
768,437,1
713,128,1
53,351,0
629,596,0
1018,720,0
470,368,1
1014,442,1
871,482,1
250,704,0
918,224,1
981,767,0
403,465,0
14,228,0
843,375,1
299,662,0
444,78,1
821,120,1
16,691,0
934,428,1
408,108,1
866,644,0
87,680,0
377,252,1
490,506,0
64,526,0
317,100,1
17,575,0
51,365,0
74,326,0
763,491,1
728,175,1
696,290,1
747,226,1
646,450,1
665,191,1
775,532,1
780,635,0
194,476,0
271,573,0
713,326,1
614,257,1
705,350,1
499,540,0
16,509,0
594,501,0
359,99,1
688,601,0
847,362,1
839,248,1
135,302,0
866,221,1
968,696,0
813,215,1
307,20,1
775,409,1
88,431,0
391,486,0
717,738,0
13,758,0
469,461,0
507,573,0
89,577,0
473,709,0
729,665,0
33,139,0
949,421,1
212,133,1
465,587,0
252,240,0
414,765,0
779,259,1
347,268,1
711,504,1
962,595,1
269,163,1
161,400,0
947,730,0
724,427,1
755,247,1
672,237,1
332,377,0
699,52,1
282,558,0
535,763,0
481,600,0
804,524,1
710,396,1
539,44,1
979,199,1
620,198,1
699,42,1
898,94,1
550,650,0
608,545,0
328,62,1
14,403,0
993,183,1
418,505,0
166,236,0
615,58,1
777,41,1
622,650,0
851,277,1
914,687,0
923,210,1
320,667,0
972,301,1
508,547,0
448,577,0
180,173,1
238,679,0
470,612,0
625,621,0
710,78,1
419,414,0
649,227,1
58,676,0
41,341,0
901,719,0
211,402,0
576,334,1
938,446,1
397,45,1
682,648,0
798,744,0
39,231,0
981,47,1
385,340,1
120,313,0
519,146,1
403,105,1
751,484,1
647,155,1
312,359,0
5,553,0
374,302,1
328,629,0
30,563,0
910,62,1
994,633,1
615,693,0
39,523,0
873,453,1
106,563,0
1014,403,1
895,172,1
852,487,1
284,71,1
839,525,1
681,53,1
765,229,1
922,620,0
693,471,1
699,583,0
189,560,0
77,356,0
794,367,1
813,555,0
296,70,1
151,618,0
377,88,1
28,259,0
72,157,0
352,664,0
638,119,1
191,80,1
415,39,1
342,23,1
168,396,0
539,658,0
797,686,0
49,545,0
38,277,0
451,754,0
822,208,1
851,222,1
164,530,0
502,516,0
266,161,1
295,74,1
731,727,0
353,177,1
865,191,1
286,725,0
581,126,1
928,422,1
594,71,1
679,178,1
531,104,1
279,304,0
93,710,0
336,691,0
892,297,1
28,689,0
865,610,0
