x_0,x_1,y
9,196,1
164,423,1
296,349,0
387,428,1
317,140,0
293,354,0
316,428,1
125,502,1
171,65,1
307,259,0
489,137,1
174,155,0
285,75,1
218,434,1
171,164,0
208,239,0
195,175,0
143,171,0
189,176,0
449,163,1
412,59,1
3,336,1
340,222,0
258,52,1
366,368,1
368,221,0
151,375,1
371,423,1
327,233,0
330,203,0
462,104,1
296,323,0
133,165,0
342,293,0
302,188,0
273,282,0
123,237,0
50,10,1
106,213,1
404,95,1
26,342,1
348,163,0
288,19,1
82,164,1
281,210,0
186,490,1
404,372,1
97,96,1
256,251,0
439,203,1
304,195,0
506,87,1
75,225,1
343,393,1
291,229,0
214,237,0
402,412,1
175,104,1
377,66,1
168,7,1
253,246,0
289,132,0
436,194,1
5,28,1
250,70,1
245,141,0
122,73,1
72,66,1
142,204,0
150,214,0
257,123,0
263,361,0
398,45,1
479,179,1
271,152,0
109,158,1
74,139,1
177,202,0
267,254,0
198,326,0
166,66,1
287,502,1
425,502,1
80,390,1
186,152,0
134,374,1
222,132,0
141,452,1
364,200,0
266,129,0
283,341,0
339,239,0
474,239,1
165,209,0
262,264,0
33,372,1
493,38,1
321,319,0
308,183,0
380,327,1
275,122,0
240,289,0
197,138,0
108,462,1
422,145,1
304,320,0
321,289,0
482,248,1
333,164,0
83,226,1
204,209,0
130,316,1
309,134,0
304,259,0
83,494,1
317,117,1
230,299,0
37,142,1
251,229,0
146,275,0
109,347,1
502,30,1
220,330,0
196,301,0
136,222,0
308,207,0
293,383,1
444,150,1
43,454,1
284,320,0
207,491,1
120,92,1
199,175,0
253,192,0
182,254,0
349,13,1
123,333,1
114,232,0
231,138,0
285,281,0
352,27,1
487,502,1
318,135,0
193,344,0
398,257,1
65,431,1
164,314,0
205,158,0
223,266,0
282,169,0
256,114,0
65,482,1
325,154,0
313,312,0
276,291,0
334,282,0
224,330,0
247,259,0
288,304,0
192,327,0
357,249,0
257,218,0
470,30,1
479,405,1
439,213,1
101,368,1
457,250,1
14,334,1
165,255,0
61,336,1
138,200,0
418,448,1
264,367,1
263,204,0
290,443,1
189,137,0
355,6,1
141,120,1
447,315,1
141,227,0
412,509,1
357,196,0
148,392,1
340,97,1
359,427,1
164,148,0
499,40,1
312,495,1
331,287,0
341,99,1
505,331,1
342,226,0
384,217,1
478,208,1
43,280,1
181,24,1
221,90,1
177,469,1
197,262,0
339,129,1
508,190,1
200,281,0
251,325,0
179,275,0
7,209,1
266,442,1
34,286,1
329,326,0
122,60,1
354,397,1
216,297,0
405,336,1
256,313,0
200,170,0
37,374,1
203,297,0
341,201,0
178,244,0
60,71,1
229,188,0
345,140,1
212,340,0
247,219,0
196,279,0
81,138,1
234,196,0
303,294,0
349,92,1
343,221,0
299,328,0
463,412,1
330,310,0
362,255,0
159,161,0
184,121,0
491,411,1
152,326,0
182,77,1
396,65,1
252,246,0
448,102,1
506,450,1
383,466,1
479,482,1
411,453,1
417,243,1
260,194,0
168,240,0
267,240,0
180,212,0
97,371,1
268,463,1
492,310,1
302,296,0
218,152,0
257,30,1
118,464,1
47,416,1
206,466,1
233,215,0
412,65,1
167,311,0
231,159,0
157,392,1
510,38,1
285,138,0
242,153,0
315,389,1
485,24,1
379,206,1
176,289,0
194,443,1
388,272,1
258,76,1
421,96,1
156,324,0
341,195,0
153,81,1
206,233,0
317,259,0
216,167,0
266,320,0
295,208,0
105,79,1
174,197,0
434,228,1
476,63,1
164,332,0
26,375,1
451,470,1
243,347,0
118,341,1
453,160,1
77,160,1
248,359,0
213,5,1
297,138,0
424,256,1
256,364,0
254,155,0
289,159,0
296,121,0
398,124,1
58,104,1
325,426,1
213,116,0
359,204,0
323,117,1
308,466,1
239,343,0
22,266,1
43,457,1
481,111,1
315,8,1
182,160,0
171,169,0
75,121,1
196,241,0
343,160,0
213,148,0
212,320,0
83,277,1
72,502,1
134,201,0
418,313,1
297,39,1
253,145,0
13,428,1
226,123,0
292,242,0
134,231,0
436,20,1
190,121,0
438,209,1
327,333,0
231,43,1
